parameter	taxi_out	take_off	climb	cruise	approach	taxi_in	idle	
M0	0.038	0.12	0.497	0.78	0.47	0.038	0	
h	0	0	5800	11600	5800	0	0	
Thrust	1	1	1	1	1	1	1	
A_eff/fan	4.2	3.5	1	0.8	1.05	4.2	4.4	
eta_inlet	0.92	0.92	0.92043	0.92086	0.92043	0.92	0.92	
PR_fan	1.4	1.4	1.403	1.4206	1.403	1.4	1.4	
eta_fan	0.93	0.93	0.9197225	0.909445	0.9197225	0.93	0.93	
BPR	11.1	11.1	11.17213	11.24426	11.17213	11.1	11.1	
eta_LPC	0.92	0.92	0.910095	0.90019	0.910095	0.92	0.92	
eta_HPC	0.9774	0.9774	0.966045	0.95469	0.966045	0.9774	0.9774	
PR_LPC	1.99241	1.99241	2.3433	2.69419	2.3433	1.99241	1.99241	
PR_HPC	11.92999	11.92999	10.8339	9.73784	10.8339	11.92999	11.92999	
eta_mech	0.99	0.99	0.99	0.99	0.99	0.99	0.99	
eta_cc	0.995	0.995	0.995	0.995	0.995	0.995	0.995	
PR_cc	0.94	0.94	0.939765	0.93953	0.939765	0.94	0.94	
T04	1630.39	1630.39	1544.847	1459.304	1544.847	1630.39	1630.39	
eta_LPT	0.94	0.94	0.94025	0.9405	0.94025	0.94	0.94	
eta_HPT	0.94	0.94	0.9364	0.9328	0.9364	0.94	0.94	
PR_LPT	0.157178	0.157178	0.141717	0.12626	0.141717	0.157178	0.157178	
PR_HPT	0.261226	0.261226	0.261526	0.261826	0.261526	0.261226	0.261226	
eta_nozzle	0.98	0.98	0.9809	0.9818	0.9809	0.98	0.98	
PR_noz_core	0.99	0.99	0.98772	0.985443	0.98772	0.99	0.99	
PR_noz_fan	0.99	0.99	0.988722	0.987444	0.988722	0.99	0.99	
mr_h2	1.0	0.11726137437162468	0.11726137437162468	0.11726137437162468	0.11726137437162468	1.0	1.0	
mr_ker	0.0	0.8827386256283754	0.8827386256283754	0.8827386256283754	0.8827386256283754	0.0	0.0	
ER_h2	1.0	0.27045168837714473	0.27045168837714473	0.27045168837714473	0.27045168837714473	1.0	1.0	
ER_ker	0.0	0.7295483116228552	0.7295483116228552	0.7295483116228552	0.7295483116228552	0.0	0.0	
LHV	120.0	63.82478000504014	63.82478000504014	63.82478000504014	63.82478000504014	120.0	120.0	
